"Date","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
2021-07-12,146.210006713867,146.320007324219,144,144.5,76299700,140.851654052734
2021-07-13,144.029998779297,147.460006713867,143.630004882812,145.639999389648,100827100,141.962890625
2021-07-14,148.100006103516,149.570007324219,147.679992675781,149.149993896484,127050800,145.384216308594
2021-07-15,149.240005493164,150,147.089996337891,148.479995727539,106820300,144.731140136719
2021-07-16,148.460006713867,149.759994506836,145.880004882812,146.389999389648,93251400,142.693923950195
2021-07-19,143.75,144.070007324219,141.669998168945,142.449996948242,121434600,138.853408813477
2021-07-20,143.460006713867,147.100006103516,142.960006713867,146.149993896484,96350000,142.459991455078
2021-07-21,145.529998779297,146.130004882812,144.630004882812,145.399993896484,74993500,141.728942871094
2021-07-22,145.940002441406,148.199996948242,145.809997558594,146.800003051758,77338200,143.093551635742
2021-07-23,147.550003051758,148.720001220703,146.919998168945,148.559997558594,71447400,144.809143066406
2021-07-26,148.270004272461,149.830001831055,147.699996948242,148.990005493164,72434100,145.228271484375
2021-07-27,149.119995117188,149.210006713867,145.550003051758,146.770004272461,104818600,143.064300537109
2021-07-28,144.809997558594,146.970001220703,142.539993286133,144.979995727539,118931200,141.319534301758
2021-07-29,144.690002441406,146.550003051758,144.580001831055,145.639999389648,56699500,141.962890625
2021-07-30,144.380004882812,146.330001831055,144.110000610352,145.860000610352,70440600,142.177307128906
2021-08-02,146.360000610352,146.949996948242,145.25,145.520004272461,62880000,141.845886230469
2021-08-03,145.809997558594,148.039993286133,145.179992675781,147.360000610352,64786600,143.639419555664
2021-08-04,147.270004272461,147.789993286133,146.279998779297,146.949996948242,56368300,143.239761352539
2021-08-05,146.979995727539,147.839996337891,146.169998168945,147.059997558594,46397700,143.347015380859
2021-08-06,146.350006103516,147.110000610352,145.630004882812,146.139999389648,54126800,142.663665771484
2021-08-09,146.199996948242,146.699996948242,145.520004272461,146.089996337891,48908700,142.614837646484
2021-08-10,146.440002441406,147.710006713867,145.300003051758,145.600006103516,69023100,142.136489868164
2021-08-11,146.050003051758,146.720001220703,145.529998779297,145.860000610352,48493500,142.39030456543
2021-08-12,146.190002441406,149.050003051758,145.839996337891,148.889999389648,72282600,145.348281860352
2021-08-13,148.970001220703,149.440002441406,148.270004272461,149.100006103516,59375000,145.553253173828
2021-08-16,148.539993286133,151.190002441406,146.470001220703,151.119995117188,103296000,147.52522277832
2021-08-17,150.229995727539,151.679992675781,149.089996337891,150.190002441406,92229700,146.617324829102
2021-08-18,149.800003051758,150.720001220703,146.149993896484,146.360000610352,86326000,142.878402709961
2021-08-19,145.029998779297,148,144.5,146.699996948242,86960300,143.210342407227
2021-08-20,147.440002441406,148.5,146.779998779297,148.190002441406,60549600,144.664916992188
2021-08-23,148.309997558594,150.190002441406,147.889999389648,149.710006713867,60131800,146.148742675781
2021-08-24,149.449996948242,150.860000610352,149.149993896484,149.619995117188,48606400,146.060897827148
2021-08-25,149.809997558594,150.320007324219,147.800003051758,148.360000610352,58991300,144.830871582031
2021-08-26,148.350006103516,149.119995117188,147.509994506836,147.539993286133,48597200,144.030380249023
2021-08-27,147.479995727539,148.75,146.830001831055,148.600006103516,55802400,145.065139770508
2021-08-30,149,153.490005493164,148.610000610352,153.119995117188,90956700,149.477615356445
2021-08-31,152.660003662109,152.800003051758,151.289993286133,151.830001831055,86453100,148.218322753906
2021-09-01,152.830001831055,154.979995727539,152.339996337891,152.509994506836,80313700,148.882125854492
2021-09-02,153.869995117188,154.720001220703,152.399993896484,153.649993896484,71115500,149.995056152344
2021-09-03,153.759994506836,154.630004882812,153.089996337891,154.300003051758,57808700,150.629577636719
2021-09-07,154.970001220703,157.259994506836,154.389999389648,156.690002441406,82278300,152.962707519531
2021-09-08,156.979995727539,157.039993286133,153.979995727539,155.110000610352,74420200,151.420303344727
2021-09-09,155.490005493164,156.110000610352,153.949996948242,154.070007324219,57305700,150.404998779297
2021-09-10,155,155.479995727539,148.699996948242,148.970001220703,140893200,145.426345825195
2021-09-13,150.630004882812,151.419998168945,148.75,149.550003051758,102404300,145.992553710938
2021-09-14,150.350006103516,151.070007324219,146.910003662109,148.119995117188,109296300,144.596557617188
2021-09-15,148.559997558594,149.440002441406,146.369995117188,149.029998779297,83281300,145.484878540039
2021-09-16,148.440002441406,148.970001220703,147.220001220703,148.789993286133,68034100,145.250579833984
2021-09-17,148.820007324219,148.820007324219,145.759994506836,146.059997558594,129868800,142.585586547852
2021-09-20,143.800003051758,144.839996337891,141.270004272461,142.940002441406,123478900,139.539825439453
2021-09-21,143.929992675781,144.600006103516,142.779998779297,143.429992675781,75834000,140.018142700195
2021-09-22,144.449996948242,146.429992675781,143.699996948242,145.850006103516,76404300,142.380584716797
2021-09-23,146.649993896484,147.080001831055,145.639999389648,146.830001831055,64838200,143.337265014648
2021-09-24,145.660003662109,147.470001220703,145.559997558594,146.919998168945,53477900,143.425140380859
2021-09-27,145.470001220703,145.960006713867,143.820007324219,145.369995117188,74150700,141.912002563477
2021-09-28,143.25,144.75,141.690002441406,141.910003662109,108972300,138.534301757812
2021-09-29,142.470001220703,144.449996948242,142.029998779297,142.830001831055,74602000,139.432418823242
2021-09-30,143.660003662109,144.380004882812,141.279998779297,141.5,89056700,138.134033203125
2021-10-01,141.899993896484,142.919998168945,139.110000610352,142.649993896484,94639600,139.25666809082
2021-10-04,141.759994506836,142.210006713867,138.270004272461,139.139999389648,98322000,135.830184936523
2021-10-05,139.490005493164,142.240005493164,139.360000610352,141.110000610352,80861100,137.753280639648
2021-10-06,139.470001220703,142.149993896484,138.369995117188,142,83221100,138.622116088867
2021-10-07,143.059997558594,144.220001220703,142.720001220703,143.289993286133,61732700,139.881469726562
2021-10-08,144.029998779297,144.179992675781,142.559997558594,142.899993896484,58773200,139.500762939453
2021-10-11,142.270004272461,144.809997558594,141.809997558594,142.809997558594,64452200,139.412872314453
2021-10-12,143.229995727539,143.25,141.039993286133,141.509994506836,73035900,138.143768310547
2021-10-13,141.240005493164,141.399993896484,139.199996948242,140.910003662109,78762700,137.558059692383
2021-10-14,142.110000610352,143.880004882812,141.509994506836,143.759994506836,69907100,140.340270996094
2021-10-15,143.770004272461,144.899993896484,143.509994506836,144.839996337891,67940300,141.394577026367
2021-10-18,143.449996948242,146.839996337891,143.160003662109,146.550003051758,85589200,143.063888549805
2021-10-19,147.009994506836,149.169998168945,146.550003051758,148.759994506836,76378900,145.22135925293
2021-10-20,148.699996948242,149.75,148.119995117188,149.259994506836,58418800,145.709426879883
2021-10-21,148.809997558594,149.639999389648,147.869995117188,149.479995727539,61421000,145.924209594727
2021-10-22,149.690002441406,150.179992675781,148.639999389648,148.690002441406,58883400,145.15299987793
2021-10-25,148.679992675781,149.369995117188,147.619995117188,148.639999389648,50720600,145.104217529297
2021-10-26,149.330001831055,150.839996337891,149.009994506836,149.320007324219,60893400,145.768020629883
2021-10-27,149.360000610352,149.729995727539,148.490005493164,148.850006103516,56094900,145.309188842773
2021-10-28,149.820007324219,153.169998168945,149.720001220703,152.570007324219,100077900,148.940734863281
2021-10-29,147.220001220703,149.940002441406,146.410003662109,149.800003051758,124953200,146.236633300781
2021-11-01,148.990005493164,149.699996948242,147.800003051758,148.960006713867,74588300,145.416580200195
2021-11-02,148.660003662109,151.570007324219,148.649993896484,150.020004272461,69122000,146.451385498047
2021-11-03,150.389999389648,151.970001220703,149.820007324219,151.490005493164,54511500,147.886413574219
2021-11-04,151.580001831055,152.429992675781,150.639999389648,150.960006713867,60394600,147.369049072266
2021-11-05,151.889999389648,152.199996948242,150.059997558594,151.279998779297,65463900,147.896942138672
