"Date","VOW3.DE.Open","VOW3.DE.High","VOW3.DE.Low","VOW3.DE.Close","VOW3.DE.Volume","VOW3.DE.Adjusted"
2021-07-12,214.600006103516,220.300003051758,213.199996948242,218.149993896484,1170569,131.662170410156
2021-07-13,219.649993896484,220.25,213.75,215.25,1022825,129.911880493164
2021-07-14,215.449996948242,218.75,214.600006103516,215.050003051758,836129,129.791198730469
2021-07-15,214.399993896484,214.800003051758,209.149993896484,210.350006103516,941967,126.954536437988
2021-07-16,211,213.850006103516,207.649993896484,207.649993896484,1079565,125.324989318848
2021-07-19,205.600006103516,206.050003051758,199.639999389648,201.699996948242,1767611,121.733940124512
2021-07-20,203.399993896484,205.5,200.449996948242,203.699996948242,1112940,122.941017150879
2021-07-21,205,212.5,202.5,210.100006103516,1127166,126.803672790527
2021-07-22,212,213.600006103516,208.399993896484,208.800003051758,806131,126.019058227539
2021-07-23,206,211.050003051758,205.449996948242,208.600006103516,1089503,128.898574829102
2021-07-26,206.449996948242,207,203.149993896484,206.899993896484,715511,127.848091125488
2021-07-27,205.5,205.649993896484,201.5,202.5,904664,125.129241943359
2021-07-28,204.899993896484,205.949996948242,203.300003051758,203.850006103516,716698,125.963455200195
2021-07-29,203.5,207.850006103516,199.839996337891,207.050003051758,1260668,127.940803527832
2021-07-30,206.850006103516,208.850006103516,203.199996948242,205.5,966219,126.983024597168
2021-08-02,209.199996948242,210.600006103516,205.600006103516,205.75,799631,127.137512207031
2021-08-03,206.550003051758,207.899993896484,203.899993896484,205.100006103516,642482,126.735847473145
2021-08-04,205.899993896484,208.100006103516,204.149993896484,204.199996948242,712602,126.179710388184
2021-08-05,203.199996948242,205.800003051758,202.899993896484,205.800003051758,653051,127.168388366699
2021-08-06,205.75,209.350006103516,205.550003051758,206.800003051758,595468,127.786308288574
2021-08-09,206.399993896484,206.800003051758,203.399993896484,205.350006103516,513688,126.890319824219
2021-08-10,204.949996948242,206.300003051758,204.550003051758,205.399993896484,516369,126.921241760254
2021-08-11,206.5,206.899993896484,204.850006103516,205.25,644887,126.828536987305
