"Date","JPM.Open","JPM.High","JPM.Low","JPM.Close","JPM.Volume","JPM.Adjusted"
2021-07-12,154.350006103516,159.160003662109,153.940002441406,158,19940400,139.42024230957
2021-07-13,156.050003051758,157.389999389648,153.5,155.649993896484,22671700,137.346542358398
2021-07-14,155.949996948242,157.279998779297,152.949996948242,155.119995117188,14622800,136.878860473633
2021-07-15,153.899993896484,156.529998779297,153.699996948242,155.460006713867,11539300,137.178909301758
2021-07-16,155.960006713867,156.279998779297,151.020004272461,151.910003662109,14002700,134.046325683594
2021-07-19,148.550003051758,149.820007324219,145.710006713867,146.970001220703,22172900,129.687255859375
2021-07-20,146.520004272461,151.119995117188,146.330001831055,149.710006713867,15385200,132.105026245117
2021-07-21,152.050003051758,153.649993896484,151.360000610352,152.860000610352,12356700,134.884628295898
2021-07-22,152.880004882812,153.440002441406,149.970001220703,150.929992675781,9913300,133.181549072266
2021-07-23,151.479995727539,152.839996337891,150.25,150.639999389648,9666100,132.925704956055
2021-07-26,150.190002441406,151.960006713867,150.169998168945,151.649993896484,8208000,133.816925048828
2021-07-27,150.399993896484,152.490005493164,149.800003051758,151.449996948242,11218700,133.640426635742
2021-07-28,152.289993286133,152.770004272461,150.880004882812,151.699996948242,9217300,133.861068725586
2021-07-29,153.139999389648,153.869995117188,151.910003662109,153,9063500,135.008163452148
2021-07-30,152.580001831055,153.669998168945,151.199996948242,151.779998779297,9805200,133.931610107422
2021-08-02,152.029998779297,154.449996948242,151.070007324219,151.169998168945,10203200,133.39338684082
2021-08-03,151.949996948242,153.320007324219,149.520004272461,152.889999389648,10394800,134.911102294922
2021-08-04,151.25,153.369995117188,150.910003662109,151.240005493164,10155000,133.455184936523
2021-08-05,152.279998779297,153.690002441406,152.009994506836,153.149993896484,9151500,135.140533447266
2021-08-06,155.190002441406,157.820007324219,155.110000610352,157.5,13328800,138.978988647461
2021-08-09,157.520004272461,158.550003051758,155.899993896484,157.330001831055,9516900,138.829010009766
2021-08-10,156.740005493164,159.979995727539,156.309997558594,159.259994506836,8667000,140.532043457031
2021-08-11,160,161.5,159.080001831055,161.160003662109,9156500,142.208602905273
2021-08-12,161.880004882812,162.369995117188,160.550003051758,161.789993286133,8844200,142.764526367188
2021-08-13,161.789993286133,162.160003662109,159.570007324219,159.979995727539,8980900,141.167373657227
2021-08-16,158.940002441406,159.029998779297,156.779998779297,158.929992675781,8755800,140.240814208984
2021-08-17,157.570007324219,158.860000610352,155.270004272461,157.009994506836,9347200,138.546630859375
2021-08-18,156.309997558594,158.009994506836,155.339996337891,155.580001831055,8065500,137.284774780273
2021-08-19,153.160003662109,155.559997558594,153.009994506836,154.279998779297,9517700,136.137649536133
2021-08-20,154.350006103516,154.899993896484,153.160003662109,154.720001220703,6974100,136.525939941406
2021-08-23,155.330001831055,157.089996337891,155.240005493164,156.699996948242,7934600,138.273071289062
2021-08-24,157,158.550003051758,156.869995117188,157.669998168945,7670900,139.129043579102
2021-08-25,158.509994506836,161.779998779297,157.800003051758,160.919998168945,11335000,141.996841430664
2021-08-26,162.259994506836,163.830001831055,161.149993896484,161.75,11027500,142.729248046875
2021-08-27,161.75,163.160003662109,161.259994506836,163.050003051758,8780200,143.876388549805
2021-08-30,163.210006713867,163.490005493164,159.880004882812,160.440002441406,7937600,141.573287963867
2021-08-31,160.440002441406,161.369995117188,159.350006103516,159.949996948242,12340800,141.140914916992
2021-09-01,160.220001220703,160.759994506836,158.970001220703,159.720001220703,8729900,140.937957763672
2021-09-02,160.020004272461,161.610000610352,159.429992675781,160.460006713867,8813300,141.590957641602
2021-09-03,160.389999389648,160.889999389648,159.149993896484,159.490005493164,7959700,140.735000610352
2021-09-07,159.990005493164,161.380004882812,158.960006713867,159.210006713867,9285600,140.487915039062
2021-09-08,158.889999389648,159.580001831055,158.039993286133,158.5,7852700,139.861389160156
2021-09-09,158.270004272461,160.830001831055,158.080001831055,159.190002441406,7904300,140.470275878906
2021-09-10,160.559997558594,160.720001220703,157.220001220703,157.360000610352,8311600,138.855453491211
2021-09-13,158.529998779297,160.050003051758,158.070007324219,159.860000610352,10052800,141.061492919922
2021-09-14,160.449996948242,161.339996337891,156.259994506836,157.070007324219,11685600,138.599609375
2021-09-15,156.720001220703,158.690002441406,156.470001220703,158.160003662109,11691500,139.561401367188
2021-09-16,159.410003662109,160.850006103516,157.220001220703,158.089996337891,10880900,139.499618530273
2021-09-17,157.380004882812,159.009994506836,157,157.679992675781,25581600,139.137847900391
2021-09-20,153.889999389648,154.559997558594,150.490005493164,152.960006713867,15819900,134.972869873047
2021-09-21,153.529998779297,154.550003051758,152.580001831055,152.979995727539,8999900,134.990509033203
2021-09-22,155.199996948242,157.25,155.100006103516,155.910003662109,11236200,137.575973510742
2021-09-23,158,161.710006713867,157.669998168945,161.179992675781,12336100,142.226257324219
2021-09-24,161.440002441406,163.589996337891,160.820007324219,163.039993286133,10102400,143.867523193359
2021-09-27,165,167.399993896484,164.610000610352,166.979995727539,13220900,147.344192504883
2021-09-28,167.699996948242,169.300003051758,165.660003662109,166.080001831055,13387900,146.550048828125
2021-09-29,166.210006713867,166.899993896484,165.039993286133,165.949996948242,7777100,146.435348510742
2021-09-30,166.919998168945,166.990005493164,162.789993286133,163.690002441406,13161200,144.441101074219
2021-10-01,164,168.300003051758,163.600006103516,167.130004882812,11285000,147.476577758789
2021-10-04,166.970001220703,170.440002441406,165.729995727539,166.949996948242,14120000,147.317764282227
2021-10-05,167.210006713867,170.139999389648,166.669998168945,168.660003662109,12292900,149.723510742188
2021-10-06,167.990005493164,169.100006103516,166,169.020004272461,8692600,150.043060302734
2021-10-07,171.199996948242,171.509994506836,169.539993286133,170.089996337891,10195400,150.992935180664
2021-10-08,170.020004272461,171.339996337891,169.300003051758,170.220001220703,8190100,151.108337402344
2021-10-11,170.800003051758,171.289993286133,166.460006713867,166.639999389648,12154700,147.930282592773
2021-10-12,165.75,166.690002441406,164.770004272461,165.360000610352,13032600,146.793991088867
2021-10-13,164.070007324219,165.410003662109,160.600006103516,161,22753500,142.92350769043
2021-10-14,161.75,164.009994506836,160.059997558594,163.470001220703,15176800,145.116180419922
2021-10-15,165.350006103516,167.169998168945,164.139999389648,166.610000610352,14267400,147.903656005859
2021-10-18,166.479995727539,168.610000610352,165.910003662109,166.550003051758,12672900,147.850372314453
2021-10-19,167.399993896484,168.649993896484,166.580001831055,168.570007324219,8053900,149.643585205078
2021-10-20,168.300003051758,170.869995117188,167.460006713867,170.839996337891,8185600,151.65869140625
2021-10-21,170.759994506836,171.330001831055,168.679992675781,169.5,8415200,150.469146728516
2021-10-22,170.029998779297,172.089996337891,169.699996948242,171.779998779297,8817900,152.4931640625
2021-10-25,172.710006713867,172.960006713867,170.479995727539,170.940002441406,10159200,151.747482299805
2021-10-26,171,172.490005493164,170.539993286133,171.399993896484,8015100,152.155822753906
2021-10-27,170.320007324219,170.699996948242,167.339996337891,167.830001831055,9847000,148.986663818359
2021-10-28,168.300003051758,170.509994506836,167.960006713867,170.360000610352,7212900,151.232574462891
2021-10-29,171.179992675781,172.240005493164,169.389999389648,169.889999389648,8140100,150.815399169922
2021-11-01,172.039993286133,172.330001831055,169.009994506836,169.800003051758,7435500,150.73551940918
2021-11-02,169.800003051758,171.690002441406,168.919998168945,170.470001220703,7173800,151.330215454102
2021-11-03,170.130004882812,171.130004882812,169.149993896484,170.529998779297,8402700,151.383514404297
2021-11-04,170,170.199996948242,166.490005493164,168.289993286133,9574200,149.39501953125
2021-11-05,168.899993896484,170.089996337891,167.410003662109,168.050003051758,7975600,149.18196105957
2021-11-08,169.050003051758,170.919998168945,168.740005493164,169.059997558594,6413700,150.078536987305
2021-11-09,167.350006103516,168.470001220703,166.600006103516,167.779998779297,7990300,148.942291259766
2021-11-10,167.449996948242,168.949996948242,167.089996337891,167.619995117188,6999200,148.800201416016
2021-11-11,167.520004272461,168.679992675781,166.899993896484,167.610000610352,5815300,148.791366577148
2021-11-12,167.649993896484,167.740005493164,165.720001220703,166.860000610352,8113400,148.125564575195
2021-11-15,167.210006713867,167.789993286133,166,166.559997558594,6492500,147.859237670898
2021-11-16,167.059997558594,167.070007324219,165.119995117188,165.360000610352,9706100,146.793991088867
2021-11-17,165.210006713867,165.559997558594,163.389999389648,164.470001220703,9909600,146.00390625
2021-11-18,164.389999389648,164.850006103516,162.559997558594,163.050003051758,8122500,144.743347167969
2021-11-19,161.300003051758,162.110000610352,159.449996948242,160.919998168945,12193600,142.852508544922
2021-11-22,164.160003662109,165.979995727539,162.990005493164,164.350006103516,14549900,145.897415161133
2021-11-23,165.5,168.559997558594,165.369995117188,168.279998779297,12354400,149.386138916016
2021-11-24,168.460006713867,169.440002441406,166.440002441406,166.960006713867,9629800,148.214340209961
2021-11-26,162.139999389648,162.649993896484,158.820007324219,161.929992675781,13619300,143.749084472656
2021-11-29,163.309997558594,164.779998779297,159.820007324219,161.229995727539,12104400,143.127685546875
2021-11-30,159.160003662109,160.630004882812,158.289993286133,158.830001831055,18922600,140.997146606445
2021-12-01,161,163.270004272461,157.800003051758,157.889999389648,12253400,140.162689208984
2021-12-02,159.830001831055,163.25,158.800003051758,161.210006713867,12969900,143.109939575195
2021-12-03,161.5,161.830001831055,157.190002441406,158.289993286133,12681800,140.517761230469
2021-12-06,161.009994506836,162.610000610352,159.460006713867,160.160003662109,11186500,142.177825927734
2021-12-07,161.880004882812,163.389999389648,161.160003662109,162.570007324219,9851600,144.317230224609
2021-12-08,162.660003662109,163.270004272461,160.169998168945,160.710006713867,11705700,142.666046142578
2021-12-09,159.649993896484,160.929992675781,158.649993896484,160.460006713867,11189600,142.44416809082
2021-12-10,161.320007324219,161.699996948242,159.130004882812,159.820007324219,10405400,141.876007080078
2021-12-13,159.5,159.789993286133,157.279998779297,157.919998168945,12069000,140.189300537109
2021-12-14,157.449996948242,160.889999389648,157.300003051758,159.130004882812,12563600,141.263473510742
2021-12-15,159.850006103516,159.850006103516,157.350006103516,157.940002441406,14014200,140.207061767578
2021-12-16,160.389999389648,161.820007324219,158.699996948242,160.410003662109,19542800,142.399765014648
2021-12-17,159.320007324219,159.380004882812,155.179992675781,156.759994506836,28082000,139.159561157227
2021-12-20,154.509994506836,154.699996948242,151.839996337891,153.940002441406,15148000,136.656204223633
2021-12-21,155.410003662109,157.179992675781,155.089996337891,156.089996337891,11291300,138.56477355957
2021-12-22,155.75,157.059997558594,155.240005493164,156.699996948242,7273000,139.106262207031
2021-12-23,157.610000610352,159.119995117188,157.210006713867,157.259994506836,8055200,139.603408813477
2021-12-27,157.600006103516,158.199996948242,156.339996337891,158.160003662109,6188100,140.402374267578
2021-12-28,158.199996948242,160.149993896484,158.080001831055,158.639999389648,6342300,140.828460693359
2021-12-29,158.850006103516,159.630004882812,158.149993896484,158.559997558594,6398900,140.75749206543
2021-12-30,159.110000610352,160.240005493164,158.369995117188,158.479995727539,6948200,140.686462402344
2021-12-31,158.449996948242,159.289993286133,157.960006713867,158.350006103516,5805900,140.571029663086
2022-01-03,159.860000610352,162.639999389648,159.509994506836,161.699996948242,13120900,143.544906616211
2022-01-04,164.309997558594,168.580001831055,164.229995727539,167.830001831055,20195800,148.986663818359
2022-01-05,167.820007324219,168.360000610352,163.729995727539,163.779998779297,17539400,146.262893676758
2022-01-06,166.910003662109,167.369995117188,163.869995117188,165.520004272461,14047500,147.816802978516
2022-01-07,165.669998168945,167.529998779297,165.059997558594,167.160003662109,13913300,149.281372070312
2022-01-10,169.070007324219,169.309997558594,165.529998779297,167.320007324219,12922500,149.424285888672
2022-01-11,168.259994506836,168.520004272461,166.309997558594,167.490005493164,11854100,149.576065063477
2022-01-12,168.460006713867,169.589996337891,167.179992675781,168.440002441406,12568000,150.42448425293
2022-01-13,168.339996337891,169.809997558594,167.889999389648,168.229995727539,13623400,150.236907958984
2022-01-14,160.759994506836,161.029998779297,156.899993896484,157.889999389648,40158400,141.002853393555
2022-01-18,155.779998779297,155.779998779297,150.539993286133,151.270004272461,32324800,135.090927124023
2022-01-19,151.570007324219,152.229995727539,148.550003051758,148.929992675781,22380000,133.00114440918
2022-01-20,148.990005493164,150.610000610352,147.360000610352,147.660003662109,14860800,131.866989135742
2022-01-21,147.5,147.509994506836,144.270004272461,145.080001831055,20705400,129.562957763672
2022-01-24,142.279998779297,145.479995727539,139.570007324219,144.949996948242,28471400,129.446838378906
2022-01-25,143.649993896484,146.850006103516,140.789993286133,146.529998779297,18915900,130.857849121094
2022-01-26,148.720001220703,150.570007324219,145.960006713867,147.919998168945,20709100,132.099182128906
2022-01-27,149.419998168945,150.380004882812,144.130004882812,145.309997558594,17536800,129.768341064453
2022-01-28,144.190002441406,146.759994506836,142.169998168945,146.610000610352,14117000,130.929336547852
2022-01-31,145.639999389648,148.789993286133,144.669998168945,148.600006103516,13985700,132.706481933594
2022-02-01,148.690002441406,151.470001220703,148.300003051758,151.149993896484,14584900,134.983734130859
2022-02-02,150.5,150.940002441406,148.070007324219,149.940002441406,12441100,133.903137207031
2022-02-03,150,151.649993896484,148.289993286133,148.699996948242,12474900,132.795745849609
2022-02-04,149.100006103516,153.5,148.770004272461,152.559997558594,16654400,136.242935180664
2022-02-07,153.270004272461,153.619995117188,150.850006103516,153.070007324219,12572300,136.698364257812
2022-02-08,155,158.479995727539,154.800003051758,155.949996948242,20411400,139.27033996582
2022-02-09,156.589996337891,157.429992675781,155.820007324219,156.600006103516,9131100,139.850845336914
2022-02-10,156.660003662109,159.029998779297,155.220001220703,155.949996948242,16455600,139.27033996582
2022-02-11,155.610000610352,158.190002441406,152.970001220703,153.919998168945,16830000,137.457458496094
2022-02-14,152.729995727539,153.679992675781,150.320007324219,152.490005493164,17026500,136.180404663086
2022-02-15,154.509994506836,155.940002441406,153.850006103516,154.720001220703,9500000,138.171890258789
2022-02-16,153.740005493164,156.100006103516,153.740005493164,155,9076500,138.421905517578
2022-02-17,153,153.729995727539,150.669998168945,151.429992675781,11367500,135.233749389648
2022-02-18,152.130004882812,154.139999389648,151.130004882812,152.139999389648,11733300,135.867828369141
2022-02-22,150.600006103516,153.240005493164,150.410003662109,151.869995117188,11333500,135.626724243164
2022-02-23,153.119995117188,153.300003051758,147.970001220703,148.690002441406,11799000,132.786865234375
2022-02-24,142.940002441406,144.990005493164,139.779998779297,144.550003051758,25655100,129.089645385742
2022-02-25,145.25,150.130004882812,144.910003662109,147.970001220703,18367700,132.14387512207
2022-02-28,143.550003051758,145.059997558594,140.880004882812,141.800003051758,31315300,126.633750915527
2022-03-01,140.039993286133,140.479995727539,133.580001831055,136.449996948242,36840400,121.855979919434
2022-03-02,137.289993286133,140.039993286133,136.610000610352,139.279998779297,19405600,124.383277893066
2022-03-03,139.839996337891,140.979995727539,137.059997558594,138.289993286133,16640800,123.499160766602
2022-03-04,134.940002441406,135.419998168945,132.399993896484,134.399993896484,21016000,120.025238037109
2022-03-07,132.169998168945,132.690002441406,128.949996948242,129.210006713867,27560100,115.390319824219
2022-03-08,129.639999389648,131.789993286133,127.269996643066,128.300003051758,19207800,114.577651977539
2022-03-09,132.899993896484,135.240005493164,132.440002441406,133.440002441406,17536200,119.167892456055
2022-03-10,131.860000610352,133.449996948242,130.320007324219,131.860000610352,15604200,117.756889343262
2022-03-11,132.490005493164,134.080001831055,128.419998168945,128.889999389648,20061800,115.104530334473
2022-03-14,129.460006713867,132.919998168945,129.229995727539,130.169998168945,15786900,116.247634887695
2022-03-15,131.800003051758,133.550003051758,131.130004882812,132.479995727539,15096600,118.310562133789
2022-03-16,134.869995117188,138.490005493164,134.429992675781,138.399993896484,20354900,123.597389221191
2022-03-17,136.860000610352,140.190002441406,135.919998168945,140.149993896484,17050500,125.160270690918
2022-03-18,140.190002441406,140.850006103516,138.460006713867,140.100006103516,23656500,125.115577697754
2022-03-21,140.350006103516,140.759994506836,138.729995727539,139.649993896484,12676100,124.713691711426
2022-03-22,142.270004272461,143.929992675781,141.720001220703,142.619995117188,13548600,127.366058349609
2022-03-23,140.979995727539,141.589996337891,139.199996948242,139.779998779297,12093200,124.829795837402
2022-03-24,140.300003051758,140.710006713867,139.110000610352,140.690002441406,10017600,125.64249420166
2022-03-25,141.089996337891,143.179992675781,140.800003051758,141.919998168945,8383500,126.740898132324
2022-03-28,140,140.970001220703,137.899993896484,140.869995117188,10818100,125.803237915039
2022-03-29,143.350006103516,143.600006103516,140.240005493164,141.179992675781,11316500,126.080070495605
2022-03-30,141.899993896484,142.119995117188,139.910003662109,140.539993286133,8771000,125.508506774902
2022-03-31,139.830001831055,140.350006103516,136.259994506836,136.320007324219,17353900,121.739868164062
2022-04-01,137.399993896484,137.410003662109,133.800003051758,135.309997558594,15721300,120.837890625
2022-04-04,134.119995117188,136.940002441406,132.889999389648,135.910003662109,17416400,121.373710632324
2022-04-05,134.070007324219,135.399993896484,133.009994506836,133.339996337891,12110300,119.961242675781
2022-04-06,131.580001831055,132.559997558594,130.960006713867,131.490005493164,12914700,118.296875
2022-04-07,130.949996948242,131.919998168945,128.729995727539,131.089996337891,12994200,117.936988830566
2022-04-08,131.669998168945,133.899993896484,131.490005493164,133.490005493164,13126900,120.096221923828
2022-04-11,133,134.899993896484,132.570007324219,133,10466400,119.655372619629
2022-04-12,132.139999389648,134.580001831055,130.699996948242,131.539993286133,12989900,118.341842651367
2022-04-13,126.940002441406,129.25,126.01000213623,127.300003051758,30838000,114.527282714844
2022-04-14,126.5,128.300003051758,125.019996643066,126.120002746582,18835200,113.465675354004
2022-04-18,125.669998168945,129.240005493164,125.540000915527,128.460006713867,11834400,115.570892333984
2022-04-19,128.449996948242,131.320007324219,128.229995727539,131.119995117188,15015400,117.963973999023
2022-04-20,132.520004272461,133.509994506836,131.339996337891,131.580001831055,13430200,118.377853393555
2022-04-21,132.220001220703,132.809997558594,129.960006713867,130.559997558594,12174200,117.46021270752
2022-04-22,130.279998779297,130.520004272461,126.690002441406,126.809997558594,14318800,114.086433410645
2022-04-25,126.01000213623,127.120002746582,123.110000610352,126.769996643066,17149000,114.050453186035
2022-04-26,124.639999389648,126.410003662109,122.870002746582,123.019996643066,17209500,110.676712036133
2022-04-27,122.330001831055,123.559997558594,121.220001220703,121.419998168945,17215200,109.237258911133
2022-04-28,122.809997558594,123.650001525879,121.139999389648,123.339996337891,13015600,110.96460723877
2022-04-29,123.050003051758,123.610000610352,118.900001525879,119.360000610352,14874800,107.383941650391
2022-05-02,119.879997253418,120.709999084473,118.220001220703,120.449996948242,18545000,108.36457824707
2022-05-03,121.529998779297,124.169998168945,120.779998779297,123.029998779297,15720900,110.685707092285
2022-05-04,122.800003051758,127.400001525879,122.73999786377,127.099998474121,17128500,114.34733581543
2022-05-05,125.25,126.099998474121,122.160003662109,123.919998168945,15055400,111.486419677734
2022-05-06,123.800003051758,124.290000915527,121.180000305176,123.720001220703,14417900,111.306480407715
2022-05-09,122.110000610352,123.330001831055,120.5,121.860000610352,14312300,109.633102416992
2022-05-10,123.110000610352,123.779998779297,117.559997558594,118.889999389648,16382400,106.961097717285
2022-05-11,119.300003051758,122.889999389648,117.940002441406,118.139999389648,14630300,106.286346435547
2022-05-12,117,118.319999694824,115.370002746582,118.040000915527,16318800,106.196380615234
2022-05-13,119.410003662109,120.25,117.959999084473,119.089996337891,10443200,107.14102935791
2022-05-16,118.540000915527,119.459999084473,117.230003356934,118.26000213623,10269000,106.394325256348
2022-05-17,121.040000915527,122.970001220703,120.809997558594,122.180000305176,11160200,109.920997619629
2022-05-18,121.300003051758,121.970001220703,119.529998779297,120.089996337891,12664900,108.04069519043
2022-05-19,118.190002441406,119.650001525879,117.629997253418,118.309997558594,12765800,106.439300537109
2022-05-20,119.459999084473,119.669998168945,115.019996643066,117.339996337891,13150100,105.566612243652
2022-05-23,120.459999084473,126.569999694824,120.449996948242,124.599998474121,24376700,112.098182678223
2022-05-24,124.360000610352,127.48999786377,123.110000610352,126.360000610352,19324900,113.681579589844
2022-05-25,126.279998779297,127.860000610352,125.169998168945,127.23999786377,12780400,114.473297119141
2022-05-26,128.369995117188,130.190002441406,128.210006713867,129.440002441406,15990900,116.452560424805
2022-05-27,130.160003662109,131.270004272461,129.139999389648,131.270004272461,11177800,118.098945617676
2022-05-31,130.179992675781,133.149993896484,129.710006713867,132.229995727539,17015000,118.962615966797
