"Date","MC.PA.Open","MC.PA.High","MC.PA.Low","MC.PA.Close","MC.PA.Volume","MC.PA.Adjusted"
2021-07-12,662,668,654.700012207031,666,255319,604.494140625
2021-07-13,668.799987792969,670.700012207031,664.200012207031,670.700012207031,312845,608.760070800781
2021-07-14,666.200012207031,671.599975585938,664.5,671.599975585938,180869,609.576904296875
2021-07-15,671.099975585938,677,660.799987792969,663.200012207031,306416,601.95263671875
2021-07-16,667.099975585938,669.5,647.200012207031,654.299987792969,455783,593.874450683594
2021-07-19,648.599975585938,649,635.099975585938,639.900024414062,496713,580.804443359375
2021-07-20,644,651,638.799987792969,645.099975585938,324696,585.524047851562
2021-07-21,649.5,659.900024414062,648.900024414062,659.200012207031,288289,598.322021484375
2021-07-22,660,664.5,654.900024414062,660.400024414062,391518,599.411254882812
2021-07-23,665,674.400024414062,658.900024414062,674,411886,611.755126953125
2021-07-26,670,676.900024414062,667.299987792969,673.400024414062,347405,611.210632324219
2021-07-27,683,688.299987792969,669.200012207031,669.599975585938,474408,607.761535644531
2021-07-28,669.400024414062,688.299987792969,665.599975585938,688.200012207031,324397,624.643859863281
2021-07-29,692,692,680.5,684,255100,620.831665039062
2021-07-30,675.200012207031,682.700012207031,671.700012207031,673.900024414062,425011,611.66455078125
2021-08-02,678.900024414062,687.299987792969,677,687,324652,623.554626464844
2021-08-03,690.599975585938,700.700012207031,685.799987792969,695.900024414062,341567,631.632690429688
2021-08-04,698.900024414062,702.799987792969,692.700012207031,694.700012207031,278285,630.543518066406
2021-08-05,692.099975585938,701.299987792969,692,697.400024414062,268502,632.994262695312
2021-08-06,695.900024414062,702.299987792969,693.400024414062,697.400024414062,287106,632.994262695312
2021-08-09,698.099975585938,700.299987792969,696.099975585938,697.400024414062,166437,632.994262695312
2021-08-10,699.900024414062,705.5,698.099975585938,701.599975585938,230097,636.806213378906
2021-08-11,703.599975585938,706.700012207031,697.900024414062,704.799987792969,211136,639.710754394531
2021-08-12,704.799987792969,712.099975585938,703.900024414062,712,276394,646.245849609375
2021-08-13,713,716.599975585938,707.799987792969,709.799987792969,219593,644.2490234375
2021-08-16,705.099975585938,706.400024414062,691.400024414062,694.900024414062,315345,630.725036621094
2021-08-17,691.200012207031,694.700012207031,686,690.5,326360,626.731323242188
2021-08-18,690.5,691.400024414062,653.700012207031,654.900024414062,699154,594.419189453125
2021-08-19,635.299987792969,640,611,613.099975585938,1493477,556.479309082031
2021-08-20,613.200012207031,624.400024414062,610.5,620,843005,562.742248535156
2021-08-23,628.5,641.799987792969,626.200012207031,636.599975585938,728161,577.809143066406
2021-08-24,646,647.200012207031,624.299987792969,624.299987792969,500424,566.644958496094
2021-08-25,625,628.200012207031,620,622.099975585938,412050,564.648254394531
2021-08-26,620,623.5,612.400024414062,621.599975585938,425086,564.1943359375
2021-08-27,621,624.299987792969,616.900024414062,623.099975585938,340808,565.555969238281
2021-08-30,625,629.799987792969,622.799987792969,625,291687,567.280334472656
2021-08-31,627.099975585938,629,624.099975585938,626.799987792969,541313,568.914184570312
2021-09-01,631.900024414062,651,631.599975585938,646.799987792969,596692,587.067138671875
2021-09-02,647.599975585938,653.099975585938,644.099975585938,647,320818,587.248718261719
2021-09-03,646.599975585938,646.599975585938,633.200012207031,634.900024414062,393248,576.266174316406
2021-09-06,639.599975585938,650.5,637.200012207031,648.700012207031,262291,588.791625976562
2021-09-07,653,658.799987792969,650.200012207031,653,340478,592.694580078125
2021-09-08,652,654.799987792969,643.400024414062,648.700012207031,385265,588.791625976562
2021-09-09,641.900024414062,661.099975585938,638.900024414062,658.400024414062,411139,597.595886230469
2021-09-10,670.5,674.5,661.900024414062,663.5,388397,602.224792480469
2021-09-13,666,669,654.099975585938,657,349720,596.3251953125
2021-09-14,654.299987792969,655.5,638.200012207031,646.799987792969,397133,587.067138671875
2021-09-15,645.200012207031,645.200012207031,617.700012207031,621.200012207031,706373,563.831420898438
2021-09-16,623.5,634.599975585938,621.299987792969,628,475856,570.003356933594
2021-09-17,634.299987792969,645.200012207031,627,631,863299,572.726257324219
2021-09-20,615,623,605.400024414062,618.700012207031,764691,561.562255859375
2021-09-21,622.599975585938,636,621,636,490753,577.2646484375
2021-09-22,646.5,649.099975585938,639.099975585938,643.299987792969,403326,583.890380859375
2021-09-23,649.700012207031,656.400024414062,643.700012207031,654.099975585938,392213,593.693054199219
2021-09-24,647.5,648.5,638.400024414062,642.900024414062,371010,583.52734375
2021-09-27,648.299987792969,651.400024414062,633.299987792969,637.5,297614,578.6259765625
2021-09-28,635,636.5,616.700012207031,617.900024414062,627324,560.836120605469
2021-09-29,626,632.799987792969,623.299987792969,625.5,355217,567.734191894531
2021-09-30,631,634.299987792969,619.5,620.099975585938,596940,562.832885742188
2021-10-01,614,631.5,610,630,448089,571.818603515625
2021-10-04,622.5,632,617.5,621.099975585938,346834,563.740600585938
2021-10-05,623.099975585938,634,620.900024414062,632.5,329281,574.087707519531
2021-10-06,625,627.599975585938,615.099975585938,624.799987792969,458312,567.098876953125
2021-10-07,634.5,641,633.299987792969,637.900024414062,439881,578.989074707031
2021-10-08,638.400024414062,640.700012207031,624.5,627.700012207031,386925,569.731018066406
2021-10-11,625.299987792969,634.099975585938,619.900024414062,631.700012207031,261049,573.361694335938
2021-10-12,627,635.5,624.599975585938,633.900024414062,369383,575.358459472656
2021-10-13,636,658.5,630.599975585938,653.900024414062,627178,593.511413574219
2021-10-14,660,668.599975585938,651.099975585938,667.200012207031,460568,605.583129882812
2021-10-15,672,674,664.799987792969,664.799987792969,542414,603.404846191406
2021-10-18,659,659.299987792969,638,650,414414,589.971740722656
2021-10-19,653,654.400024414062,641.099975585938,646,305206,586.341064453125
2021-10-20,643.700012207031,659.099975585938,639.5,656.099975585938,408236,595.50830078125
2021-10-21,651.099975585938,660.900024414062,646.400024414062,659.700012207031,264050,598.775817871094
2021-10-22,663,676.700012207031,662.200012207031,667.299987792969,423275,605.673950195312
2021-10-25,667.900024414062,669.400024414062,657.799987792969,659.799987792969,239985,598.866516113281
2021-10-26,660.400024414062,667.599975585938,656.599975585938,665,293673,603.586364746094
2021-10-27,659.599975585938,667.5,659.599975585938,664.299987792969,252036,602.950988769531
2021-10-28,662.5,672.400024414062,661,671.700012207031,302241,609.667541503906
2021-10-29,667.299987792969,677.200012207031,662,677.200012207031,434079,614.659606933594
2021-11-01,680,685.299987792969,674.200012207031,683.400024414062,320108,620.287170410156
2021-11-02,684.5,689.799987792969,680.700012207031,684.799987792969,285336,621.557800292969
2021-11-03,684.200012207031,688.599975585938,680.299987792969,682.5,350677,619.470153808594
2021-11-04,687,693.299987792969,685.599975585938,692.5,348282,628.546569824219
2021-11-05,691.200012207031,711.400024414062,689.599975585938,708.900024414062,524883,643.43212890625
2021-11-08,714.900024414062,718.700012207031,705.200012207031,707.400024414062,317489,642.070678710938
2021-11-09,703.200012207031,712.299987792969,698.900024414062,707.299987792969,337111,641.979919433594
2021-11-10,703.200012207031,704.400024414062,688.900024414062,698.599975585938,349382,634.083374023438
2021-11-11,694.700012207031,706,694,705.400024414062,272715,640.25537109375
2021-11-12,706,726.599975585938,705.900024414062,722.900024414062,412199,656.139282226562
2021-11-15,719.299987792969,724.299987792969,716,720.799987792969,433662,654.233154296875
2021-11-16,724.5,731.700012207031,724.400024414062,729.700012207031,419771,662.311279296875
2021-11-17,729,730.599975585938,722.099975585938,726.099975585938,420189,659.043640136719
2021-11-18,729,735.900024414062,727.5,728.5,458866,661.222106933594
2021-11-19,733,741.599975585938,724.099975585938,733.5,698218,665.760314941406
2021-11-22,732.299987792969,735.400024414062,726.5,728.299987792969,297513,661.04052734375
2021-11-23,722,729.200012207031,710.400024414062,718.099975585938,441531,651.782470703125
2021-11-24,721,729.299987792969,716.200012207031,726.099975585938,384226,659.043640136719
2021-11-25,732,738.5,730.200012207031,734.700012207031,226209,666.849487304688
2021-11-26,697,713,645,692,921585,628.092895507812
2021-11-29,712.700012207031,714.200012207031,692.099975585938,697.200012207031,565133,632.812622070312
2021-11-30,687,692.299987792969,678.299987792969,686.599975585938,990257,625.884582519531
